Gene,Pt1.baseline,Pt2.baseline,Pt4.baseline,Pt5.baseline,Pt6.baseline,Pt7.baseline,Pt8.baseline,Pt9.baseline,Pt10.baseline,Pt12.baseline,Pt13.baseline,Pt14.baseline,Pt15.baseline,Pt16.OnTx,Pt19.baseline,Pt20.baseline,Pt22.baseline,Pt23.baseline,Pt25.baseline,Pt27A.baseline,Pt27B.baseline,Pt28.baseline,Pt29.baseline,Pt31.baseline,Pt32.baseline,Pt35.baseline,Pt37.baseline,Pt38.baseline
PRF1,3.877755,2.08039,3.670635,0.301207,1.61564,1.642535,2.524545,4.243715,0.486919,1.56383,6.996015,3.952895,4.720615,5.76133,4.96677,44.58995,5.49768,11.9423,20.19585,5.95738,2.081205,1.221335,3.98829,12.176,1.95013,3.89626,5.04554,15.8873
PTGS2,0.258346,3.68057,0.6633075,1.83687,1.071285,0.217196,1.07924,0.18537,6.448545,0.599218,10.68215,0.3711235,0.161645,11.9845,0.3328075,0.1960095,1.475945,0.5591245,0.1024352,0.28822,0.58599,3.26917,0.899429,0.66956,8.73342,0.0406871,0.546959,3.84226
SAT1,138.732,751.675,235.706,544.295,923.8265,710.216,468.4085,349.3165,103.2725,87.8026,254.231,481.371,405.019,496.872,335.9025,1077.81,518.5905,521.375,473.476,256.9725,233.557,461.8605,305.393,174.672,75.4595,143.356,248.893,347.203
SLC3A2,166.508,202.623,253.4105,240.058,490.853,316.1325,324.0095,114.754,90.49625,138.2535,75.24995,97.5057,211.6935,180.983,449.3685,157.8455,88.34215,119.022,603.8455,270.9175,287.6865,186.102,156.7635,368.123,203.057,279.094,542.123,69.1946
SLC7A11,2.248215,0.0247098,0.6231095,0.0549017,1.433615,22.69195,4.6386,1.66758,2.236535,4.12994,0.402375,0.2104325,0.0656854,1.30573,1.84658,0.4441115,0.864331,0.700071,0.06710405,0.4544885,0.09174565,1.12791,2.477205,1.11676,1.39634,13.9763,0.407531,3.38673
SOD1,297.1045,602.8465,182.8895,320.59,379.0045,219.272,228.9275,326.358,447.6125,173.246,227.444,159.387,217.822,294.096,307.102,228.0035,173.1935,267.765,352.566,78.95415,64.5654,134.3465,164.801,165.311,155.072,130.124,392.977,214.515
SOD2,67.5342,240.649,49.5116,27.9218,73.3424,28.16055,204.914,84.476,72.79925,33.9511,159.778,85.25405,60.7409,290.967,26.51195,162.793,110.043,77.9422,30.04325,87.82785,77.0102,352.409,94.40175,64.9074,21.289,37.7974,61.4652,103.462
TAP1,3.2069,10.400785,6.49548,3.901905,2.896025,2.719415,3.62324,5.688065,1.2435055,2.406435,9.16514,4.1872,12.2587,2.74485,4.252735,25.7318,7.20984,9.251835,26.0099,14.7431,8.048935,4.272985,7.53771,6.92568,1.12479,7.3113,12.1043,7.6991
TAP2,1.64454,3.091725,2.06136,1.91718,2.14399,0.587122,4.336535,2.437635,0.6386595,2.144805,3.094135,3.050415,6.111595,2.55054,2.361665,7.71114,2.69001,8.69704,3.288285,2.757665,1.65385,2.530615,3.680705,1.71392,0.503248,1.75295,6.71294,3.09964
TGFB1,31.89095,34.82445,10.31755,23.6684,36.2638,33.92845,19.6616,33.022,39.8769,24.75075,57.208,89.15145,10.4504,31.9897,185.5165,27.97155,49.7692,37.22185,25.5883,42.3927,28.31815,35.7386,20.30845,87.7991,158.637,27.0144,12.2032,86.5392
TGFBR1,22.70065,10.44165,18.346,22.764,62.0092,25.31555,8.2454,20.4019,18.7045,15.15685,17.92135,11.30245,19.3621,15.5835,4.814175,18.03525,19.1934,17.2701,16.52175,20.2158,26.49455,4.56855,18.81025,8.28382,6.34894,10.9316,9.58005,8.59272
TGFBR2,54.0289,16.91985,22.85215,27.4848,32.01135,18.4818,15.97765,35.13585,41.68965,28.9092,47.99295,114.8435,28.89695,24.1686,11.21465,25.97035,45.36325,21.66635,14.02825,36.69185,31.307,15.6514,38.4908,7.45696,21.7709,14.2212,12.1437,40.0305
TIGIT,3.38261,1.97806,2.14879,0.03375625,0.08520765,0.5068745,1.070365,2.390965,0.04103005,0.11755835,6.30024,0.9457575,2.53314,1.01138,1.29588,26.3505,6.168585,4.48999,5.682025,4.00889,1.585345,1.49235,7.33673,1.47929,0.911934,1.85465,2.04651,23.342
TNF,0.0895728,0.0873983,0.0211557,0.0,0.0084955,0.0,0.0,0.0702104,0.0,0.0127461,0.0,0.03795325,0.065043,0.0,0.0,0.04193915,0.03028715,0.0268251,0.1152185,0.0200589,0.03348425,0.167506,0.0121836,0.0,0.0,0.0379421,0.0,0.0
VEGFA,16.88945,18.88155,6.270985,18.10495,12.76785,34.63775,13.14655,3.717955,76.02865,14.00825,94.5952,61.77345,6.96114,48.3591,4.59703,7.452475,11.9704,18.0845,7.31029,7.676965,6.261125,25.0079,22.9185,12.4191,16.7289,8.95565,5.77088,7.72672
VEGFB,42.20225,29.2191,42.0787,61.6617,31.8596,65.2561,53.01925,41.6512,18.57755,17.9069,31.7203,26.0797,63.59545,61.5336,196.874,48.6768,42.43445,53.13555,90.26605,64.78375,66.7169,17.98055,26.35895,113.983,71.8527,85.0086,216.056,65.071
